sample_id,n_Na,r_TM,phi_TM,I_TM,S_TM,phi_cation,Phase_EXP,Phase_DNN,Group,Source
1,0.6,56,61.223162,59.69,0,12.60476858,0,0,Train,Ref7
2,0.6,61.1,55.714574,69.2156,0.673011667,11.47064753,0,0,Train,Ref7
3,0.6,55.15,62.017158,60.6235,0.856840995,12.76823835,0,0,Train,Ref7
4,0.65,55.525,60.715214,59.2673,0.780555832,13.54187347,0,0,Train,Ref7
5,0.653,54.98600646,61.350358,59.44609,0.068417636,13.74669077,0,0,Train,Ref7
6,0.66,65.08,53.217317,62.66082134,0.526907961,12.05215647,0,0,Train,Ref7
7,0.66,70.64,47.5,42.018012,0,10.75735239,0,0,Train,Ref7
8,0.666666667,55.40833333,60.507709,59.02766667,0.886464476,13.84163318,0,0,Train,Ref7
9,0.666666667,54.16666667,61.690653,59.51,0.848685558,14.11224129,0,0,Train,Ref7
10,0.666666667,55.80833333,60.17606,58.08666667,0.856840995,13.76576576,0,0,Train,Ref7
11,0.666666667,56.33333333,59.639991,58.27666667,0,13.64313559,0,0,Train,Ref7
12,0.666666667,58.85333333,59.584327,72.31407467,0.592953317,13.630402,0,0,Train,Ref7
13,0.666666667,58.77777778,59.42898,60.43517778,0.529706199,13.5948651,0,0,Train,Ref7
14,0.666666667,54,61.85448,60.68,0,14.14971806,0,0,Train,Ref7
15,0.666666667,54.58333333,61.300858,58.30666667,0.693147181,14.0230725,0,0,Train,Ref7
16,0.666666667,63.95333333,54.322721,93.72049581,0.526907961,12.4267666,0,0,Train,Ref7
17,0.666666667,55.66666667,60.255755,59.51333333,0.636514168,13.78399664,0,0,Train,Ref7
18,0.666666667,56.71906355,60.11005,64.18462667,0.838594054,13.75066543,0,0,Train,Ref7
19,0.666666667,55.33333333,60.591004,59.88166667,0.801818553,13.86068759,0,0,Train,Ref7
20,0.666666667,56.52842809,60.11888,59.96249767,0.806697423,13.75268537,0,0,Train,Ref7
21,0.666666667,56.91666667,58.696422,63.99483333,1.011404265,13.42728647,0,0,Train,Ref7
22,0.666666667,56.27833333,59.438692,62.72935667,1.143406939,13.5970868,0,0,Train,Ref7
23,0.666666667,61.16666667,54.821083,65.82872333,0.636514168,12.54077098,0,0,Train,Ref7
24,0.666666667,54.33333333,61.520869,60.74333333,0.636514168,14.07340181,0,0,Train,Ref7
25,0.666666667,55.73333333,60.204255,59.01666667,0.500402424,13.7722156,0,0,Train,Ref7
26,0.666666667,56.78333333,58.986523,61.33556667,0.63903186,13.49364944,0,0,Train,Ref7
27,0.666666667,55.43333333,60.481348,59.57316667,0.886464476,13.83560288,0,0,Train,Ref7
28,0.666666667,54.70833333,61.175754,59.21666667,1.039720771,13.99445394,0,0,Train,Ref7
29,0.666666667,55.33333333,60.581432,58.84516667,0.886464476,13.85849792,0,0,Train,Ref7
30,0.666666667,54.83333333,61.043254,59.77266667,1.054920168,13.96414348,0,0,Train,Ref7
31,0.666666667,63,53.224103,63.90872333,0.636514168,12.17544875,0,0,Train,Ref7
32,0.666666667,69.66666667,49.45999,56.38,0.636514168,11.31437713,0,0,Train,Ref7
33,0.7,56.5,58.848406,57.57,0,14.13515593,0,0,Train,Ref7
34,0.7,55.55,59.734767,58.689,0.897945725,14.34805636,0,0,Train,Ref7
35,0.72,58.52,60.516385,73.18522328,0.551079928,14.95110765,0,0,Train,Ref7
36,0.75,54.125,60.152328,58.3275,0,15.48037793,0,0,Train,Ref7
37,0.76,55.59,58.576809,58.0624,0.844228311,15.2759119,0,0,Train,Ref7
38,0.777777778,55.15888889,58.63309,56.68591111,1.053919751,15.64826385,0,0,Train,Ref7
39,0.8,57.52,57.951519,64.28581164,0.861779919,15.90825936,0,0,Train,Ref7
40,0.8,55.7,57.259838,60.8758,0.500402424,15.71838616,0,0,Train,Ref7
41,0.8,54.2,59.131037,55.498,0.500402424,16.2320486,0,0,Train,Ref7
42,1,67,44.776119,43.26717,0,15.364355,1,1,Train,Ref7
43,1,64,46.875,46.709,0,16.08455929,1,1,Train,Ref7
44,1,61.5,48.780488,49.16,0,16.73840323,1,1,Train,Ref7
45,1,55,54.545455,54.91,0,18.71657824,1,1,Train,Ref7
46,1,69,43.478261,40.33,0,14.91901156,1,1,Train,Ref7
47,1,66.5,45.112782,42,0,15.47987663,1,1,Train,Ref7
48,1,86.1,34.843206,45.249,0,11.95600241,1,1,Train,Ref7
49,1,54.75,54.795663,53.09,0.693147181,18.80243393,1,1,Train,Ref7
50,1,57,52.647783,53.065,0.693147181,18.06541626,1,1,Train,Ref7
51,1,82,40.305011,69.32745333,0.636514168,13.83015123,1,1,Train,Ref7
52,1,75.33333333,46.278727,55.09545333,0.636514168,15.8799558,1,1,Train,Ref7
53,1,75,46.628407,56.42878667,0.636514168,15.99994404,1,1,Train,Ref7
54,1,75.66666667,45.934641,53.76212,0.636514168,15.76188707,1,1,Train,Ref7
55,1,75.66666667,45.934641,53.09545333,0.636514168,15.76188707,1,1,Train,Ref7
56,1,74.12975317,47.756752,56.88498333,0.969900759,16.38712126,1,1,Train,Ref7
57,1,76.5,45.187874,58.10045333,1.011404265,15.50564349,1,1,Train,Ref7
58,1,67.8,51.368849,57.151272,1.33217904,17.62656634,1,1,Train,Ref7
59,1,79.25,49.149748,61.64318,0.693147181,16.8651101,1,1,Train,Ref7
60,1,71.66666667,45.423024,51.73666667,0.636514168,15.58633222,1,1,Train,Ref7
61,1,62.66666667,48.87218,51.21466667,0.636514168,16.76986617,1,1,Train,Ref7
62,1,59.96,50.451681,51.6464,0.634178636,17.31185183,1,1,Train,Ref7
63,1,61.33333333,50.194932,52.85466667,0.636514168,17.22375168,1,1,Train,Ref7
64,1,58.16666667,51.68336,51.76,1.098612289,17.73448679,1,1,Train,Ref7
65,1,55.83333333,53.771821,52.46333333,1.098612289,18.45111558,1,1,Train,Ref7
66,1,56.33333333,53.28034,53.68,1.098612289,18.28247014,1,1,Train,Ref7
67,1,56.16666667,53.447146,52.46666667,1.098612289,18.33970749,1,1,Train,Ref7
68,1,56.3,53.31213,53.077,1.029653014,18.29337847,1,1,Train,Ref7
69,1,55.875,53.721723,53.0775,1.386294361,18.43392509,1,1,Train,Ref7
70,1,56.445,53.180302,52.8872,1.280931969,18.24814337,1,1,Train,Ref7
71,1,58.4,51.637714,51.845434,1.33217904,17.71882395,1,1,Train,Ref7
72,1,57,52.853221,52.08464625,1.559581156,18.13590969,1,1,Train,Ref7
73,1,58.125,51.984719,51.0917925,1.386294361,17.83789429,1,1,Train,Ref7
74,1,62.93,48.895275,63.00062847,0.933357264,16.77779093,1,1,Train,Ref7
75,1,67,47.052632,63.21336567,0.636514168,16.14551145,1,1,Train,Ref7
76,1,68.8,49.796522,54.421272,1.054920168,17.08704236,1,1,Train,Ref7
77,1,61.5,49.173774,49.093585,0.693147181,16.87335431,1,1,Train,Ref7
78,1,59.33333333,50.964334,51.03239,1.098612289,17.48776217,1,1,Train,Ref7
79,1,59.7,50.563378,50.682151,1.029653014,17.35017923,1,1,Train,Ref7
80,1,57.8,52.052188,52.393717,1.105889879,17.86104542,1,1,Train,Ref7
81,0.9,55.72,55.788201,55.7974,1.046605147,17.22870807,1,1,Train,Ref7
82,0.9,61.4,50.867967,54.1141265,0.688138814,15.70922413,1,1,Train,Ref7
83,0.9,60.15,51.817805,55.120051,1.054920168,16.00255644,1,1,Train,Ref7
84,0.9,56.75,54.573953,57.8689,0.943348392,16.85371974,1,1,Train,Ref7
85,0.85,65.525,48.345865,45.15,0,14.10087652,1,1,Train,Ref7
86,0.833333333,58.58333333,54.081954,59.77483333,1.329661349,15.46461148,1,1,Train,Ref7
87,0.8,61.3,52.56216,59.134668,0.673011667,14.42882755,1,1,Train,Ref7
88,0.8,59.9,53.736579,59.569951,1.029653014,14.75121706,1,1,Train,Ref7
89,0.8,54.6,58.730703,58.41,0.500402424,16.122153,1,1,Train,Ref7
90,0.8,61.3,52.247531,59.1878,0.500402424,14.34245881,1,1,Train,Ref7
91,0.8,56.1,56.859504,63.7878,0.500402424,15.60849055,1,1,Train,Ref7
92,0.8,57.7,55.341367,62.3118,1.054920168,15.19174708,1,1,Train,Ref7
93,0.8,54.55,58.780745,58.046,0.801818553,16.13589002,1,1,Train,Ref7
94,0.8,56,56.959588,63.0598,0.950270539,15.63596459,1,1,Train,Ref7
95,0.8,62.4,53.884712,54.7016,0.673011667,14.79188102,1,0,Train,Ref7
96,0.777777778,55.67256145,58.964955,61.35343586,1.151816765,15.73683348,1,1,Train,Ref7
97,0.777777778,55.14888889,58.632699,58.25361111,1.004746543,15.64815949,1,1,Train,Ref7
98,0.777777778,54.94888889,58.839757,58.56111111,1.053919751,15.70342007,1,1,Train,Ref7
99,0.777777778,58.79555556,54.989658,62.47352918,1.053919751,14.67588826,1,1,Train,Ref7
100,0.7,64.55,51.578947,48.3,0,12.38906044,1,1,Train,Ref7
101,0.7,71.45,49.497241,61.1498,0.647446639,11.88904283,1,1,Train,Ref7
102,0.666666667,64.33333333,53.336394,92.91386667,0.636514168,12.20113624,1,0,Train,Ref7
O3,1,61.91666667,53.141098,77.968199,1.011404265,18.23469102,1,1,Train,Ref7
P2,0.666666667,62.75,54.078739,79.371295,0.867563228,12.37095372,0,0,Train,Ref7
13770,0.64,55.76,61.171542,63.481416,1.112432027,13.43375062,1,0,Train,ICSD
13771,0.695,55.485,59.967731,59.994236,0.990111132,14.30112676,1,0,Train,ICSD
19572,1,56.2,53.406852,53.803,1.088899975,18.32588112,1,1,Train,ICSD
49492,1,56.29,53.322419,53.764224,1.069356063,18.29690901,1,1,Train,ICSD
49493,1,56.28,53.332708,54.451448,1.094669609,18.30043955,1,1,Train,ICSD
49834,1,56,53.618948,53.924,1.054920168,18.39865916,1,1,Train,ICSD
49835,1,56.3,53.336816,53.554,1.029653014,18.30184916,1,1,Train,ICSD
68872,0.54,64.01,54.592328,69.0418118,0,10.11563777,1,1,Train,ICSD
85654,0.99,66.935,44.989515,43.8274883,0,15.2832021,1,1,Train,ICSD
96428,1,54.5,55.045872,51.27,0,18.88828996,1,1,Train,ICSD
96670,0.73,65.46,49.169204,91.72815104,0.626869458,12.3164038,1,1,Train,ICSD
97544,1,103,29.126214,42.42,0,9.994289407,1,1,Train,ICSD
133882,0.8,55.38,58.0097,57.6706,1.009897321,15.92423062,1,1,Train,ICSD
133884,0.85,55.63,56.822322,56.6106,1.009897321,16.57317634,1,1,Train,ICSD
133885,0.9,55.88,55.634944,55.5506,1.009897321,17.18137871,1,1,Train,ICSD
155498,0.921,54.3815,56.659512,53.50017,0,17.90607245,1,1,Train,ICSD
155499,0.32,53.48,68.935434,70.4664,0,7.569381111,1,0,Train,ICSD
170347,1,68,44.117647,45,0,15.13840872,1,1,Train,ICSD
191296,0.89,67.56,47.225978,47.388689,0.634178636,14.42244274,1,1,Train,ICSD
241539,1,91.33333333,34.275726,48.42878667,0.636514168,11.76127887,1,1,Train,ICSD
252021,0.622,54.508,62.114984,61.64932,0.634178636,13.25728562,1,0,Train,ICSD
252022,0.457,55.0855,64.397036,64.96417,0.634178636,10.09833862,1,0,Train,ICSD
252023,0.34,55.495,66.015217,67.3147,0.634178636,7.701774431,1,0,Train,ICSD
252024,0.18,56.055,68.228116,70.5291,0.634178636,4.214089735,1,1,Train,ICSD
252025,0.8,54.99,58.363932,57.929,0.634178636,16.02147077,1,0,Train,ICSD
252026,0.52,54.865,63.525707,63.6985,0.634178636,11.33497844,1,0,Train,ICSD
426655,0.86,62.61,50.675686,48.1154,0.634178636,14.95429615,1,1,Train,ICSD
426656,0.92,63.4,49.618347,46.6148,0.634178636,15.66383115,1,1,Train,ICSD
426657,0.62,60,57.781679,54.8941,0.668748087,12.29276803,1,1,Train,ICSD
426658,0.9,63.395,49.766544,46.5421,0.634178636,15.36907882,1,1,Train,ICSD
426659,0.8,59.99,53.870401,54.0077,0.634178636,14.78795251,1,1,Train,ICSD
22216,1,53.5,56.074766,119.9924,0,19.24134183,1,1,Train,ICSD
25510,1,102.5,29.268293,51.14,0,10.04304201,1,1,Train,ICSD
25729,1,88.5,33.898305,73.4894,0,11.63177166,1,1,Train,ICSD
27358,0.75,56.375,57.438017,66.00725,0.562335145,14.78184203,1,1,Train,ICSD
31932,1,94,31.914894,55.45,0,10.95118944,1,1,Train,ICSD
31933,1,80,41.915317,67.11545333,0.636514168,14.38270723,1,1,Train,ICSD
33192,1,59.38,50.806144,51.590334,1.113625088,17.43348129,1,1,Train,ICSD
33195,1,60.25,50.12809,51.761184,1.192194501,17.20081569,1,1,Train,ICSD
37649,1,57.7,52.151394,52.516717,1.193549604,17.8950867,1,1,Train,ICSD
37671,1,56.55,53.081057,53.247,1.048653789,18.21408871,1,1,Train,ICSD
37672,1,57.1,53.033579,53.732665,1.205628232,18.19779724,1,1,Train,ICSD
142010,1,58.475,51.69274,54.3124735,1.105889879,17.73770542,1,1,Train,ICSD
147473,1,56.8,52.842588,53.063,1.029653014,18.13226111,1,1,Train,ICSD
147474,1,57.31,52.439265,52.5732085,1.176685607,17.99386596,1,1,Train,ICSD
147475,1,57.82,52.035942,52.083417,1.251770686,17.85547081,1,1,Train,ICSD
147476,1,58.33,51.632618,51.5936255,1.29791415,17.71707532,1,1,Train,ICSD
147524,0.6,55.23,61.939911,60.9132,0.844228311,12.75233455,1,0,Train,ICSD
147528,0.6,55.08,62.080977,61.0982,0.922703332,12.78137755,1,0,Train,ICSD
257298,1,56.5,53.127401,52.706,1.054920168,18.22999107,1,1,Train,ICSD
257299,0.912,56.06,55.217186,54.5716,1.054920168,17.27972998,1,1,Train,ICSD
264775,0.8,71.8,48.286702,58.8812,0.673011667,13.25517247,1,1,Train,ICSD
264776,0.9,72.15,47.076163,56.6126,0.688138814,14.53822591,1,1,Train,ICSD
264777,1,72.5,45.865624,54.344,0.693147181,15.73820477,1,1,Train,ICSD
291907,1,104,28.846154,60.6072,0,9.898190385,1,1,Train,ICSD
291908,1,104.1,28.818444,42.52,0,9.888682051,1,1,Train,ICSD
291910,1,100.8,29.761905,43.61,0,10.21241868,1,1,Train,ICSD
13772,0.628,56.14,61.374669,65.59276,1.16828245,13.22563981,0,0,Train,ICSD
19654,0.478,55.39,64.120364,62.2764,0,10.5169979,0,0,Train,ICSD
19656,0.437,55.185,65.094014,63.1456,0,9.760911696,0,0,Train,ICSD
19657,0.272,54.36,69.012362,66.6436,0,6.441154495,0,0,Train,ICSD
19772,0.7,58.3,58.808646,67.59672,0.500402424,14.12560573,0,0,Train,ICSD
32224,0.7,55.565,59.72714,58.2109,0.876705519,14.34622438,0,0,Train,ICSD
32225,0.62,56.36,60.203905,63.25167,1.097206879,12.80808469,0,0,Train,ICSD
33349,0.767,56.175,57.866925,57.3739,0.634178636,15.2297805,0,0,Train,ICSD
33350,0.798,56.33,57.130751,56.7167,0.634178636,15.64374282,0,0,Train,ICSD
33352,0.954,57.11,53.426132,53.4095,0.634178636,17.48920085,0,0,Train,ICSD
35810,0.67,54.65,61.171658,58.6,0.943348392,14.06348294,0,0,Train,ICSD
35811,0.67,54.7,61.121616,58.964,1.029653014,14.05197819,0,0,Train,ICSD
50301,0.74,54.11,60.356586,58.6098,0,15.32583885,0,0,Train,ICSD
55722,0.406,53.609,67.178813,68.03862,0,9.358930204,0,0,Train,ICSD
70640,0.67,54.85,60.971491,60.056,0.693147181,14.01746416,0,0,Train,ICSD
95617,0.667,60.673,55.302028,64.59071178,0.636282869,12.65711653,0,0,Train,ICSD
98211,0.71,54.065,60.969361,59.4567,0,14.85380912,0,0,Train,ICSD
